spec,target,thresh_source,pct,mode,n_trades,mean_bps,t_stat,win_rate,positive_assets,label_thresh
macro_60_240,vol_std,val,95,long_short,1139,-0.3898068070411682,-0.8260010056727123,0.48024582967515367,2,"(-0.5, 0.5)"
macro_60_240,vol_std,val,97,long_only,352,0.586761474609375,0.5657944012438777,0.5369318181818182,4,"(-0.5, 0.5)"
macro_60_240,vol_std,val,97,short_only,335,-0.44295522570610046,-0.8258979281677185,0.4417910447761194,1,"(-0.5, 0.5)"
macro_60_240,vol_std,val,97,long_short,687,0.08464345335960388,0.14294471744618198,0.49053857350800584,2,"(-0.5, 0.5)"
macro_30_120_240,raw_quantile,train,90,long_only,1515,-0.39759060740470886,-0.6198833863148825,0.5287128712871287,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,90,short_only,2090,-0.2521912753582001,-0.798867869316173,0.4789473684210526,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,90,long_short,3605,-0.31329527497291565,-0.9617433615343799,0.49986130374479887,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,95,long_only,693,-0.5548917055130005,-0.5745891203475426,0.5209235209235209,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,95,short_only,784,0.40082916617393494,0.7736402405210093,0.4923469387755102,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,95,long_short,1477,-0.047589678317308426,-0.08979294713050162,0.5057549085985105,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,97,long_only,422,-0.38957327604293823,-0.2963516081903402,0.533175355450237,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,97,short_only,344,0.4174710512161255,0.46183850354207245,0.49127906976744184,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,train,97,long_short,766,-0.027140963822603226,-0.032705643841478185,0.5143603133159269,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,90,long_only,1573,-0.2435026913881302,-0.37988112032383176,0.5270184361093452,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,90,short_only,2197,-0.260832816362381,-0.8503615845806467,0.4802002730996814,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,90,long_short,3770,-0.253601998090744,-0.7884780198219905,0.4997347480106101,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,95,long_only,697,-0.5248348116874695,-0.5460462716411569,0.5208034433285509,2,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,95,short_only,791,0.34189650416374207,0.6613791302917286,0.49051833122629585,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,95,long_short,1488,-0.06409259885549545,-0.12152835079853834,0.5047043010752689,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,97,long_only,438,-0.3736986517906189,-0.29190368181199955,0.5365296803652968,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,97,short_only,374,0.3654545545578003,0.4299808231938823,0.4839572192513369,3,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,raw_quantile,val,97,long_short,812,-0.03325122967362404,-0.04190712450683681,0.5123152709359606,4,"(-0.0005789999850094318, 0.0006320002139545977)"
macro_30_120_240,vol_std,train,90,long_only,1820,-0.42319226264953613,-0.8076937057201979,0.5104395604395604,2,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,90,short_only,885,-0.5025761723518372,-1.224645748453324,0.4610169491525424,3,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,90,long_short,2705,-0.44916433095932007,-1.1908317934872998,0.4942698706099815,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,95,long_only,906,0.372373104095459,0.5269107415832514,0.5375275938189845,2,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,95,short_only,462,-0.7608441710472107,-1.5109633607894488,0.43506493506493504,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,95,long_short,1368,-0.010336178354918957,-0.02075267852018029,0.5029239766081871,2,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,97,long_only,547,0.01314459927380085,0.013931998569003868,0.5283363802559415,3,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,97,short_only,296,-0.6620946526527405,-1.1069670768973414,0.4527027027027027,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,train,97,long_short,843,-0.22395004332065582,-0.3461062034901992,0.501779359430605,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,90,long_only,1571,-0.43795016407966614,-0.7648916891543373,0.5143220878421387,2,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,90,short_only,753,-0.535285472869873,-1.247852708222472,0.4555112881806109,3,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,90,long_short,2324,-0.4694879949092865,-1.1417801596710622,0.4952667814113597,0,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,95,long_only,753,0.02511300891637802,0.03182620813015913,0.5312084993359893,3,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,95,short_only,404,-1.0850245952606201,-2.0180046215523317,0.4282178217821782,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,95,long_short,1157,-0.3625237047672272,-0.6629412438553064,0.49524632670700086,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,97,long_only,425,-0.6431764364242554,-0.6036757256271772,0.5294117647058824,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,97,short_only,251,-0.43115538358688354,-0.6395432752618577,0.4541832669322709,1,"(-0.5, 0.5)"
macro_30_120_240,vol_std,val,97,long_short,676,-0.564452588558197,-0.7897685399061118,0.5014792899408284,1,"(-0.5, 0.5)"
